Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",53395,1,43,69,1,100,1,43,0,0,354.911531,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",51091,1,43,71,1,100,1,43,0,0,367.552125,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",50586,4,172,73,4,100,4,172,0,0,375.992248,0.015256999999962773,90188,0
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",55197,1,43,75,1,100,1,43,0,0,386.503938,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",59577,1,43,77,1,100,1,43,0,0,396.760654,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",54739,1,43,79,1,100,1,43,0,0,403.833198,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",53651,1,43,81,1,100,1,43,0,0,413.113647,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",59478,1,43,83,1,100,1,43,0,0,426.338097,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",63644,1,43,85,1,100,1,43,0,0,434.760125,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",55634,1,43,87,1,100,1,43,0,0,445.897384,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",58138,1,43,89,1,100,1,43,0,0,454.747921,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",62615,1,43,91,1,100,1,43,0,0,465.297693,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",56268,1,43,93,1,100,1,43,0,0,476.201214,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",60885,1,43,95,1,100,1,43,0,0,485.344625,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",51181,1,43,97,1,100,1,43,0,0,496.557101,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",53401,1,43,99,1,100,1,43,0,0,507.246383,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",50176,1,43,101,1,100,1,43,0,0,515.513857,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",60980,1,44,103,1,100,1,44,0,0,523.677614,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",64613,1,44,105,1,100,1,44,0,0,535.770909,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",61446,1,43,107,1,100,1,43,0,0,545.0693,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",50982,1,44,109,1,100,1,44,0,0,556.303838,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",55233,1,44,111,1,100,1,44,0,0,564.491579,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",54389,1,44,113,1,100,1,44,0,0,575.938647,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",58657,1,44,115,1,100,1,44,0,0,585.495523,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",65053,1,44,117,1,100,1,44,0,0,595.501321,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",55971,1,44,119,1,100,1,44,0,0,607.335459,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",61812,1,44,121,1,100,1,44,0,0,617.02678,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",61383,1,44,123,1,100,1,44,0,0,624.041714,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",63469,1,44,125,1,100,1,44,0,0,637.561357,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",49746,1,44,127,1,100,1,44,0,0,646.861884,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",59458,1,44,129,1,100,1,44,0,0,656.318613,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",56781,1,44,131,1,100,1,44,0,0,666.711756,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",53888,1,44,133,1,100,1,44,0,0,677.32518,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",64984,1,44,135,1,100,1,44,0,0,684.999553,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",62723,1,44,137,1,100,1,44,0,0,694.78861,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",52297,1,44,139,1,100,1,44,0,0,706.378972,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",52582,1,44,141,1,100,1,44,0,0,712.95899,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",52993,1,44,143,1,100,1,44,0,0,725.129668,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",59829,1,44,145,1,100,1,44,0,0,737.243223,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",60160,1,44,147,1,100,1,44,0,0,743.872399,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",63969,1,44,149,1,100,1,44,0,0,753.264499,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",54205,1,44,151,1,100,1,44,0,0,765.591287,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",65434,1,44,155,1,100,1,44,0,0,783.448744,0,"",""
